GENERATION,BEST,AVG,WORST
516,-44464.84,-55462.31,-117885.93
517,-44464.84,-53708.25,-121144.5
518,-44464.84,-55548.33,-128126.02
519,-44464.84,-56550.51,-137270.86
520,-44464.84,-56391.08,-132026.78
521,-44464.84,-56316.73,-138920.82
522,-44464.84,-56248.85,-145134.79
523,-44464.84,-55481.57,-131103.1
524,-44464.84,-55504.21,-134553.79
525,-44464.84,-53495.84,-115182.1
526,-44464.84,-55588.96,-157015.25
527,-44464.84,-54226.39,-118725.67
528,-44464.84,-55121.79,-127807.13
529,-44464.84,-53195.28,-118932.94
530,-44464.84,-53759.27,-124255.37
531,-44464.84,-55310.23,-123443.44
532,-44464.84,-55352.78,-128284.3
533,-44464.84,-54377.97,-131782.41
534,-44464.84,-55747.54,-118916.61
535,-44464.84,-55634.73,-127483.58
536,-44464.84,-55258.68,-121328.65
537,-44464.84,-53152.64,-123339.31
538,-44464.84,-53682.81,-144116.29
539,-44464.84,-54398.34,-110874.17
540,-44464.84,-54595.98,-138488.49
541,-44464.84,-56081.64,-135873.47
542,-44464.84,-55392.82,-124425.23
543,-44464.84,-55142.56,-141464.84
544,-44464.84,-54836.74,-126961.2
545,-44464.84,-55261.13,-139515.14
546,-44464.84,-54052.39,-133225.04
547,-44464.84,-54936.31,-136834.04
548,-44464.84,-56487.89,-130128.26
549,-44464.84,-54100.29,-138497.54
550,-44464.84,-54198.04,-115718.4
551,-44464.84,-54576.94,-113359.69
552,-44464.84,-56860.54,-144075.91
553,-44464.84,-53786.63,-121578.95
554,-44464.84,-55325.03,-129208.12
555,-44464.84,-56400.29,-135828.41
556,-44464.84,-54939.89,-124922.73
557,-44464.84,-53651.38,-117012.15
558,-44464.84,-55885.61,-129307.57
559,-44464.84,-54130.98,-131381.83
560,-44464.84,-54724.62,-121586.04
561,-44464.84,-54456.31,-132640.36
562,-44464.84,-54334.06,-145564.89
563,-44464.84,-54196.4,-133323.36
564,-44464.84,-54985.72,-132472.82
565,-44464.84,-55238.43,-127795.49
566,-44464.84,-55477.32,-110459.2
567,-44285.04,-55084.68,-146561.52
568,-44285.04,-55439.69,-121490.49
569,-44285.04,-53488.61,-115292.3
570,-44285.04,-54832.97,-129320.9
571,-44285.04,-55735.6,-149884.09
572,-44285.04,-56028.04,-128614.81
573,-44285.04,-55937.54,-135147.29
574,-44285.04,-56141.18,-170218.58
